InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1212010 826,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,1212010 826,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,1212010 826,2.75,17850,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,1212010 826,3.39,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,1212010 826,3.39,17850,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,1212010 826,7.65,17850,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,1212010 826,4.25,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,1212010 828,1.85,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,6,1212010 828,1.85,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1212010 834,1.69,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM ,6,1212010 834,2.1,13047,United Kingdom
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,1212010 834,2.1,13047,United Kingdom
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,1212010 834,3.75,13047,United Kingdom
536367,22310,IVORY KNITTED MUG COSY ,6,1212010 834,1.65,13047,United Kingdom
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,1212010 834,4.25,13047,United Kingdom
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,1212010 834,4.95,13047,United Kingdom
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,1212010 834,9.95,13047,United Kingdom
536367,21754,HOME BUILDING BLOCK WORD,3,1212010 834,5.95,13047,United Kingdom
536367,21755,LOVE BUILDING BLOCK WORD,3,1212010 834,5.95,13047,United Kingdom
536367,21777,RECIPE BOX WITH METAL HEART,4,1212010 834,7.95,13047,United Kingdom
536367,48187,DOORMAT NEW ENGLAND,4,1212010 834,7.95,13047,United Kingdom
